state_code,county_name,zipcode
FL,alachua,32603
FL,alachua,32611
FL,alachua,32643
FL,alachua,32669
FL,alachua,32640
FL,alachua,32601
FL,alachua,32607
FL,alachua,32615
FL,alachua,32616
FL,alachua,32631
FL,alachua,32622
FL,alachua,32612
FL,alachua,32627
FL,alachua,32604
FL,alachua,32633
FL,alachua,32658
FL,alachua,32641
FL,alachua,32696
FL,alachua,32666
FL,alachua,32635
FL,alachua,32044
FL,alachua,32654
FL,alachua,32610
FL,alachua,32608
FL,alachua,32667
FL,alachua,32614
FL,alachua,32655
FL,alachua,32605
FL,alachua,32606
FL,alachua,32653
FL,alachua,32694
FL,alachua,32618
FL,alachua,32662
FL,alachua,32609
FL,baker,32063
FL,baker,32234
FL,baker,32087
FL,baker,32040
FL,bay,32404
FL,bay,32409
FL,bay,32402
FL,bay,32437
FL,bay,32406
FL,bay,32444
FL,bay,32408
FL,bay,32466
FL,bay,32401
FL,bay,32428
FL,bay,32411
FL,bay,32456
FL,bay,32405
FL,bay,32407
FL,bay,32438
FL,bay,32462
FL,bay,32417
FL,bay,32403
FL,bay,32413
FL,bay,32465
FL,bay,32410
FL,bradford,32091
FL,bradford,32609
FL,bradford,32058
FL,bradford,32042
FL,bradford,32656
FL,bradford,32054
FL,bradford,32044
FL,bradford,32083
FL,bradford,32622
FL,bradford,32666
FL,brevard,32940
FL,brevard,32908
FL,brevard,32909
FL,brevard,32926
FL,brevard,32899
FL,brevard,32956
FL,brevard,32754
FL,brevard,32935
FL,brevard,32949
FL,brevard,32959
FL,brevard,32937
FL,brevard,32941
FL,brevard,32906
FL,brevard,32954
FL,brevard,32951
FL,brevard,32955
FL,brevard,32934
FL,brevard,32783
FL,brevard,32923
FL,brevard,32925
FL,brevard,32904
FL,brevard,32796
FL,brevard,32931
FL,brevard,32936
FL,brevard,32903
FL,brevard,32920
FL,brevard,32902
FL,brevard,32924
FL,brevard,32912
FL,brevard,32781
FL,brevard,32910
FL,brevard,32907
FL,brevard,32922
FL,brevard,32911
FL,brevard,32927
FL,brevard,32905
FL,brevard,32901
FL,brevard,32952
FL,brevard,32780
FL,brevard,32932
FL,brevard,32815
FL,brevard,32976
FL,brevard,32953
FL,brevard,32775
FL,brevard,32948
FL,brevard,32950
FL,calhoun,32466
FL,calhoun,32421
FL,calhoun,32424
FL,calhoun,32465
FL,calhoun,32448
FL,calhoun,32449
FL,calhoun,32438
FL,calhoun,32442
FL,calhoun,32420
FL,calhoun,32430
FL,charlotte,34287
FL,charlotte,33948
FL,charlotte,33946
FL,charlotte,34266
FL,charlotte,34223
FL,charlotte,34224
FL,charlotte,33950
FL,charlotte,33952
FL,charlotte,33953
FL,charlotte,33955
FL,charlotte,33954
FL,charlotte,33938
FL,charlotte,33981
FL,charlotte,34269
FL,charlotte,33980
FL,charlotte,33947
FL,charlotte,33949
FL,charlotte,33982
FL,charlotte,33983
FL,charlotte,33951
FL,charlotte,33917
FL,citrus,34449
FL,citrus,34450
FL,citrus,34452
FL,citrus,34464
FL,citrus,34451
FL,citrus,34461
FL,citrus,34447
FL,citrus,34429
FL,citrus,34428
FL,citrus,34460
FL,citrus,34442
FL,citrus,34423
FL,citrus,34445
FL,citrus,34436
FL,citrus,34446
FL,citrus,34601
FL,citrus,34441
FL,citrus,34448
FL,citrus,34465
FL,citrus,34453
FL,citrus,34487
FL,citrus,34433
FL,citrus,34434
FL,clay,32003
FL,clay,32067
FL,clay,32050
FL,clay,32234
FL,clay,32140
FL,clay,32058
FL,clay,32073
FL,clay,32065
FL,clay,32160
FL,clay,32068
FL,clay,32006
FL,clay,32656
FL,clay,32043
FL,clay,32079
FL,clay,32091
FL,clay,32666
FL,collier,34139
FL,collier,34138
FL,collier,34102
FL,collier,34146
FL,collier,34145
FL,collier,34134
FL,collier,34109
FL,collier,34106
FL,collier,34108
FL,collier,34112
FL,collier,34107
FL,collier,34110
FL,collier,34117
FL,collier,34142
FL,collier,34119
FL,collier,34120
FL,collier,34116
FL,collier,34104
FL,collier,34105
FL,collier,34113
FL,collier,34101
FL,collier,34141
FL,collier,34114
FL,collier,34103
FL,collier,33928
FL,collier,34140
FL,columbia,32056
FL,columbia,32024
FL,columbia,32061
FL,columbia,32643
FL,columbia,32096
FL,columbia,32025
FL,columbia,32055
FL,columbia,32094
FL,columbia,32038
FL,de soto,34269
FL,de soto,34268
FL,de soto,34266
FL,de soto,33865
FL,de soto,34267
FL,dixie,32648
FL,dixie,32680
FL,dixie,32008
FL,dixie,32628
FL,dixie,32692
FL,dixie,32359
FL,duval,32205
FL,duval,32233
FL,duval,32266
FL,duval,32241
FL,duval,32229
FL,duval,32210
FL,duval,32217
FL,duval,32221
FL,duval,32225
FL,duval,32212
FL,duval,32257
FL,duval,32258
FL,duval,32256
FL,duval,32202
FL,duval,32203
FL,duval,32226
FL,duval,32246
FL,duval,32235
FL,duval,32219
FL,duval,32220
FL,duval,32245
FL,duval,32250
FL,duval,32259
FL,duval,32099
FL,duval,32240
FL,duval,32255
FL,duval,32227
FL,duval,32208
FL,duval,32209
FL,duval,32211
FL,duval,32223
FL,duval,32234
FL,duval,32236
FL,duval,32228
FL,duval,32214
FL,duval,32239
FL,duval,32216
FL,duval,32222
FL,duval,32082
FL,duval,32081
FL,duval,32204
FL,duval,32207
FL,duval,32238
FL,duval,32247
FL,duval,32277
FL,duval,32206
FL,duval,32218
FL,duval,32224
FL,duval,32244
FL,duval,32254
FL,flagler,32143
FL,flagler,32174
FL,flagler,32135
FL,flagler,32110
FL,flagler,32137
FL,flagler,32136
FL,flagler,32080
FL,flagler,32164
FL,flagler,32086
FL,franklin,32321
FL,franklin,32320
FL,franklin,32328
