USPS	GEOID	ANSICODE	NAME	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                               
AL	01001	00161526	Autauga County	1539634184	25674812	594.456	9.913	32.532237	-86.64644                                                                                                                  
AL	01003	00161527	Baldwin County	4117656514	1132955729	1589.836	437.437	30.659218	-87.746067                                                                                                            
AL	01005	00161528	Barbour County	2292160149	50523213	885.008	19.507	31.870253	-85.405104                                                                                                                
AL	01007	00161529	Bibb County	1612188717	9572303	622.47	3.696	33.015893	-87.127148                                                                                                                      
AL	01009	00161530	Blount County	1670259090	14860281	644.891	5.738	33.977358	-86.56644                                                                                                                   
AL	01011	00161531	Bullock County	1613083467	6030667	622.815	2.328	32.101759	-85.717261                                                                                                                  
AL	01013	00161532	Butler County	2012002546	2701199	776.839	1.043	31.751667	-86.681969                                                                                                                   
AL	01015	00161533	Calhoun County	1569246126	16536293	605.889	6.385	33.770516	-85.827909                                                                                                                 
AL	01017	00161534	Chambers County	1545085601	16971700	596.561	6.553	32.915504	-85.394032                                                                                                                
AL	01019	00161535	Cherokee County	1433620850	120310807	553.524	46.452	34.069515	-85.654242                                                                                                              
AL	01021	00161536	Chilton County	1794438835	20592116	692.837	7.951	32.854051	-86.726607                                                                                                                 
AL	01023	00161537	Choctaw County	2365900081	19114321	913.479	7.38	31.990954	-88.248889                                                                                                                  
AL	01025	00161538	Clarke County	3207494086	36657889	1238.42	14.154	31.685521	-87.818624                                                                                                                 
AL	01027	00161539	Clay County	1564255426	5281616	603.962	2.039	33.2704	-85.863525                                                                                                                       
AL	01029	00161540	Cleburne County	1450666453	2352217	560.105	0.908	33.671964	-85.516126                                                                                                                 
AL	01031	00161541	Coffee County	1758565928	3907189	678.986	1.509	31.402258	-85.989602                                                                                                                   
AL	01033	00161542	Colbert County	1535742270	79160396	592.953	30.564	34.703112	-87.801457                                                                                                                
AL	01035	00161543	Conecuh County	2202213384	6426488	850.279	2.481	31.430926	-86.988722                                                                                                                  
AL	01037	00161544	Coosa County	1685846963	39991153	650.909	15.441	32.931445	-86.243482                                                                                                                  
AL	01039	00161545	Covington County	2669165738	34194671	1030.571	13.203	31.243987	-86.448721                                                                                                             
AL	01041	00161546	Crenshaw County	1576952763	5388562	608.865	2.081	31.730311	-86.320038                                                                                                                 
AL	01043	00161547	Cullman County	1902965973	52529944	734.739	20.282	34.131923	-86.869267                                                                                                                
AL	01045	00161548	Dale County	1453276164	4051341	561.113	1.564	31.430654	-85.609476                                                                                                                     
AL	01047	00161549	Dallas County	2534919608	39124778	978.738	15.106	32.333526	-87.11436                                                                                                                  
AL	01049	00161550	DeKalb County	2012620262	4107136	777.077	1.586	34.460915	-85.804021                                                                                                                   
AL	01051	00161551	Elmore County	1601945704	99781063	618.515	38.526	32.597229	-86.142735                                                                                                                 
AL	01053	00161552	Escambia County	2448595161	20024887	945.408	7.732	31.122287	-87.16841                                                                                                                 
AL	01055	00161553	Etowah County	1385916768	35022972	535.105	13.522	34.047641	-86.034263                                                                                                                 
AL	01057	00161554	Fayette County	1625693254	4330881	627.684	1.672	33.716157	-87.764292                                                                                                                  
AL	01059	00161555	Franklin County	1641845708	32639621	633.92	12.602	34.441989	-87.842814                                                                                                                
AL	01061	00161556	Geneva County	1487908432	11567409	574.485	4.466	31.092382	-85.821022                                                                                                                  
AL	01063	00161557	Greene County	1675782057	33416141	647.023	12.902	32.844497	-87.9642                                                                                                                   
AL	01065	00161558	Hale County	1667926655	32403804	643.99	12.511	32.752796	-87.623061                                                                                                                    
AL	01067	00161559	Henry County	1454959642	16953809	561.763	6.546	31.516978	-85.239971                                                                                                                   
AL	01069	00161560	Houston County	1501742238	4795415	579.826	1.852	31.158183	-85.296411                                                                                                                  
AL	01071	00161561	Jackson County	2792044654	126334707	1078.015	48.778	34.764114	-85.980056                                                                                                              
AL	01073	00161562	Jefferson County	2878852336	32681614	1111.531	12.618	33.553444	-86.896536                                                                                                             
AL	01075	00161563	Lamar County	1566544683	1600679	604.846	0.618	33.787085	-88.087431                                                                                                                    
AL	01077	00161564	Lauderdale County	1730150447	133604580	668.015	51.585	34.904122	-87.650997                                                                                                            
AL	01079	00161565	Lawrence County	1788864348	68682286	690.684	26.518	34.529776	-87.321865                                                                                                               
AL	01081	00161566	Lee County	1573526818	21516747	607.542	8.308	32.604064	-85.353048                                                                                                                     
AL	01083	00161567	Limestone County	1450297458	122310053	559.963	47.224	34.810239	-86.981399                                                                                                             
AL	01085	00161568	Lowndes County	1854651814	23271259	716.085	8.985	32.147888	-86.650586                                                                                                                 
AL	01087	00161569	Macon County	1576435594	11765508	608.665	4.543	32.387027	-85.692887                                                                                                                   
AL	01089	00161570	Madison County	2076137768	28784863	801.601	11.114	34.764238	-86.55108                                                                                                                 
AL	01091	00161572	Marengo County	2530155136	14951685	976.898	5.773	32.247591	-87.791091                                                                                                                 
AL	01093	00161573	Marion County	1922660061	3180617	742.343	1.228	34.138219	-87.881551                                                                                                                   
AL	01095	00161574	Marshall County	1465531833	148497637	565.845	57.335	34.309564	-86.321668                                                                                                              
AL	01097	00161575	Mobile County	3184064142	1074011171	1229.374	414.678	30.684572	-88.196568                                                                                                             
AL	01099	00161576	Monroe County	2656469672	22609681	1025.669	8.73	31.580332	-87.383266                                                                                                                  
AL	01101	00161577	Montgomery County	2034059352	37703221	785.355	14.557	32.202881	-86.204461                                                                                                             
AL	01103	00161578	Morgan County	1501335536	50196377	579.669	19.381	34.454484	-86.846402                                                                                                                 
AL	01105	00161579	Perry County	1863936200	10902207	719.67	4.209	32.639005	-87.293827                                                                                                                    
AL	01107	00161580	Pickens County	2282835039	22621093	881.408	8.734	33.2968	-88.096864                                                                                                                   
AL	01109	00161581	Pike County	1740645369	2339145	672.067	0.903	31.798653	-85.941608                                                                                                                     
AL	01111	00161582	Randolph County	1503618358	9283013	580.55	3.584	33.296461	-85.464064                                                                                                                  
AL	01113	00161583	Russell County	1660652494	15564412	641.182	6.009	32.289811	-85.18698                                                                                                                  
